Time		    CASE	den	een	dex	eex	dut_led	exp_led
[2015000]		PASS:	0	0	0	0	1100	1100
[2025000]		PASS:	0	0	0	0	1100	1100
[2035000]		PASS:	0	0	0	0	1100	1100
[2045000]		PASS:	0	0	0	0	1100	1100
[2055000]		PASS:	0	0	0	0	1100	1100
[2065000]		PASS:	0	0	0	0	1100	1100
[2075000]		PASS:	0	0	0	0	1100	1100
[2085000]		PASS:	0	0	0	0	1100	1100
[2095000]		PASS:	0	0	0	0	1100	1100
[2105000]		PASS:	0	0	0	0	1100	1100
[2115000]		PASS:	0	0	0	0	1100	1100
[2125000]		PASS:	0	0	0	0	1100	1100
[2135000]		PASS:	0	0	0	0	1100	1100
[2145000]		PASS:	0	0	0	0	1100	1100
[2155000]		PASS:	0	0	0	0	1100	1100
[2165000]		PASS:	0	0	0	0	1100	1100
[2175000]		PASS:	0	0	0	0	1100	1100
[2185000]		PASS:	1	1	0	0	1100	1100
[2195000]		PASS:	0	0	0	0	1101	1101
[2205000]		PASS:	0	0	0	0	1101	1101
[2215000]		PASS:	0	0	0	0	1101	1101
[2225000]		PASS:	0	0	0	0	1101	1101
[2235000]		PASS:	0	0	0	0	1101	1101
[2245000]		PASS:	0	0	0	0	1101	1101
[2255000]		PASS:	0	0	0	0	1101	1101
[2265000]		PASS:	0	0	0	0	1101	1101
[2275000]		PASS:	0	0	0	0	1101	1101
[2285000]		PASS:	0	0	0	0	1101	1101
[2295000]		PASS:	0	0	0	0	1101	1101
[2305000]		PASS:	0	0	0	0	1101	1101
[2315000]		PASS:	0	0	0	0	1101	1101
[2325000]		PASS:	0	0	0	0	1101	1101
[2335000]		PASS:	0	0	0	0	1101	1101
[2345000]		PASS:	0	0	0	0	1101	1101
[2355000]		PASS:	1	1	0	0	1101	1101
[2365000]		PASS:	0	0	0	0	1110	1110
[2375000]		PASS:	0	0	0	0	1110	1110
[2385000]		PASS:	0	0	0	0	1110	1110
[2395000]		PASS:	0	0	0	0	1110	1110
[2405000]		PASS:	0	0	0	0	1110	1110
[2415000]		PASS:	0	0	0	0	1110	1110
[2425000]		PASS:	0	0	0	0	1110	1110
[2435000]		PASS:	0	0	0	0	1110	1110
[2445000]		PASS:	0	0	0	0	1110	1110
[2455000]		PASS:	0	0	0	0	1110	1110
[2465000]		PASS:	0	0	0	0	1110	1110
[2475000]		PASS:	0	0	0	0	1110	1110
[2485000]		PASS:	0	0	0	0	1110	1110
[2495000]		PASS:	0	0	0	0	1110	1110
[2505000]		PASS:	0	0	0	0	1110	1110
[2515000]		PASS:	0	0	0	0	1110	1110
[2525000]		PASS:	1	1	0	0	1110	1110
[2535000]		PASS:	0	0	0	0	1111	1111
[2545000]		PASS:	0	0	0	0	1111	1111
[2555000]		PASS:	0	0	0	0	1111	1111
[2565000]		PASS:	0	0	0	0	1111	1111
[2575000]		PASS:	0	0	0	0	1111	1111
[2585000]		PASS:	0	0	0	0	1111	1111
[2595000]		PASS:	0	0	0	0	1111	1111
[2605000]		PASS:	0	0	0	0	1111	1111
[2615000]		PASS:	0	0	0	0	1111	1111
[2625000]		PASS:	0	0	0	0	1111	1111
[2635000]		PASS:	0	0	0	0	1111	1111
[2645000]		PASS:	0	0	0	0	1111	1111
[2655000]		PASS:	0	0	0	0	1111	1111
[2665000]		PASS:	0	0	0	0	1111	1111
[2675000]		PASS:	0	0	0	0	1111	1111
[2685000]		PASS:	1	1	0	0	1111	1111
[2695000]		PASS:	0	0	0	0	1111	1111
[2705000]		PASS:	0	0	0	0	1111	1111
[2715000]		PASS:	0	0	0	0	1111	1111
[2725000]		PASS:	0	0	0	0	1111	1111
[2735000]		PASS:	0	0	0	0	1111	1111
[2745000]		PASS:	0	0	0	0	1111	1111
[2755000]		PASS:	0	0	0	0	1111	1111
[2765000]		PASS:	0	0	0	0	1111	1111
[2775000]		PASS:	0	0	0	0	1111	1111
[2785000]		PASS:	0	0	0	0	1111	1111
[2795000]		PASS:	0	0	0	0	1111	1111
[2805000]		PASS:	0	0	0	0	1111	1111
[2815000]		PASS:	0	0	0	0	1111	1111
[2825000]		PASS:	0	0	0	0	1111	1111
[2835000]		PASS:	0	0	0	0	1111	1111
[2845000]		PASS:	1	1	0	0	1111	1111
[2855000]		PASS:	0	0	0	0	1111	1111
[2865000]		PASS:	0	0	0	0	1111	1111
[2875000]		PASS:	0	0	0	0	1111	1111
[2885000]		PASS:	0	0	0	0	1111	1111
[2895000]		PASS:	0	0	0	0	1111	1111
[2905000]		PASS:	0	0	0	0	1111	1111
[2915000]		PASS:	0	0	0	0	1111	1111
[2925000]		PASS:	0	0	0	0	1111	1111
[2935000]		PASS:	0	0	0	0	1111	1111
[2945000]		PASS:	0	0	0	0	1111	1111
[2955000]		PASS:	0	0	0	0	1111	1111
[2965000]		PASS:	0	0	0	0	1111	1111
[2975000]		PASS:	0	0	0	0	1111	1111
[2985000]		PASS:	0	0	0	0	1111	1111
[2995000]		PASS:	0	0	0	0	1111	1111
[3005000]		PASS:	0	0	0	0	1111	1111
